name,game,release,version,filename,filesize,md5,sha1,crc32
Doom,Doom,shareware,1.0,DOOM1.WAD,4207819,90facab21eede7981be10790e3f82da2,fc0359e191bd257b3507863ae412ef3250515866,eedAE672
Doom,Doom,shareware,1.1,DOOM1.WAD,4274218,52cbc8882f445573ce421fa5453513c1,d4dc6806abd96bd93570c8df436fb6956e13d910,981DCEBB
Doom,Doom,shareware,1.2,DOOM1.WAD,4225504,30aa5beb9e5ebfbbe1e1765561c08f38,77ef34de7f13dc36b792fb82ed6805e9c1dc7afc,BC842626
Doom,Doom,shareware,1.25,DOOM1.WAD,4225460,17aebd6b5f2ed8ce07aa526a32af8d99,72caf585f7ce56861d25f8580c1cc82bf50abd1b,225D7FB1
Doom,Doom,shareware beta,1.4,DOOM1.WAD,4261144,a21ae40c388cb6f2c3cc1b95589ee693,b4a8e93f1f9544210a173035a0b04c19eb283a2a,F5C2708D
Doom,Doom,shareware beta,1.5,DOOM1.WAD,4271324,e280233d533dcc28c1acd6ccdc7742d4,b559ba93d0a96e242eb6ded9deeedbd6f79d40fc,8653B0EB
Doom,Doom,shareware beta,1.6,DOOM1.WAD,4211660,762fd6d4b960d4b759730f01387a50a1,1437fc1ac25a17d5b3cef4c9d2f74e40cae3d231,F26DCAD8
Doom,Doom,registered,1.1,DOOM.WAD,10396254,981b03e6d1dc033301aa3095acc437ce,df0040ccb29cc1622e74ceb3b7793a2304cca2c8,66457AB9
Doom,Doom,registered,1.2,DOOM.WAD,10399316,792fd1fea023d61210857089a7c1e351,b5f86a559642a2b3bdfb8a75e91c8da97f057fe6,A5DA8930
Doom,Doom,registered,1.666,DOOM.WAD,11159840,54978d12de87f162b9bcc011676cb3c0,2e89b86859acd9fc1e552f587b710751efcffa8e,F756AAB5
Doom,Doom,registered,1.8,DOOM.WAD,11159840,11e1cd216801ea2657723abc86ecb01f,2c8212631b37f21ad06d18b5638c733a75e179ff,8D242DF9
Doom,Doom,registered,1.9,DOOM.WAD,11159840,1cd63c5ddff1bf8ce844237f580e9cf3,7742089b4468a736cadb659a7deca3320fe6dcbd,723E60F9
Doom,Doom,Ultimate Doom,1.9,DOOM.WAD,12408292,c4fe9fd920207691a9f493668e0a2083,9b07b02ab3c275a6a7570c3f73cc20d63a0e3833,BF0EAAC0
Ultimate Doom,Ultimate Doom,BFG Edition,BFG,DOOM.WAD,12487824,fb35c4a5a9fd49ec29ab6e900572c524,e5ec79505530e151ff0e6f517f3ce1fd65969c46,5EFA677E
Ultimate Doom,Ultimate Doom,Unity,1.0,DOOM.WAD,12468955,232a79f7121b22d7401905ee0ee1e487,f770111ca9eb6d49aead51fcbd398719b462e64b,46359DFB
Ultimate Doom,Ultimate Doom,Unity,1.1,DOOM.WAD,12468955,21b200688d0fa7c1b6f63703d2bdd455,08ab2507e1d525c4c06b6df4f6d5862568a6b009,346A4BFD
Ultimate Doom,Ultimate Doom,XBLA,standalone,DOOM.WAD,12475196,72286ddc680d47b9138053dd944b2a3d,37de4510216eb3ce9a835dd939109443375d10c5,B8583CD5
Ultimate Doom,Ultimate Doom,Xbox,original,DOOM.WAD,12538385,0c8758f102ccafe26a3040bee8ba5021,1d1d4f69fe14fa255228d8243470678b1b4efdc5,FF1BA733
Ultimate Doom,Ultimate Doom,Xbox 360 BFG,BFG,DOOM.WAD,12474561,7912931e44c7d56e021084a256659800,d6a9f0172eca101471128ec61be975361f2ad28e,6010FD43
Ultimate Doom,Ultimate Doom,PSN,Classic Complete,DOOM.WAD,12474561,e4f120eab6fb410a5b6e11c947832357,117015379c529573510be08cf59810aa10bb934e,3F646587
Doom Pocket PC,Doom,Pocket PC,Ultimate Doom-derived,DOOM.WAD,14445632,dae77aff77a0491e3b7254c9c8401aa8,a89b39d91122882214c3088b8cd6b308713bd7c2,4500749F
Doom II,Doom II,registered,1.666,DOOM2.WAD,14943400,30e3c2d0350b67bfbf47271970b74b2f,6d559b7ceece4f5ad457415049711992370d520a,E2A683BD
